Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
Shin-Soo Choo,TEX,151,660,24,93,61,15,0.118181818,0.25,0.190053286,0.333333333,0.264653641,0.371212121,0.454706927,0.35318924,0.363576042,111.9196312,3.044067943,13.09880538,-22.74846458,1.380649996,Shin-Soo Choo,3174,425783
Luke Voit,NYY,118,510,21,72,62,0,0.139215686,0.278431372,0.2004662,0.344569288,0.263403263,0.378431372,0.463869463,0.359812981,0.368217108,125.9149644,-4.42876951,12.46337433,-16.73999786,1.375725439,Luke Voit,14811,572228
Andrew Benintendi,BOS,138,615,13,72,68,10,0.095934959,0.227642276,0.164510166,0.333333333,0.266173752,0.343137254,0.430683918,0.329596452,0.338066488,100.3160453,1.349586672,1.598007772,-9.870834827,1.356339981,Andrew Benintendi,17901,643217
Leury García,CHW,140,618,8,93,40,15,0.033980582,0.224919093,0.098786829,0.353348729,0.279029462,0.309719934,0.377816291,0.294442245,0.272216973,81.78449409,2.610988116,-11.77678867,2.880902827,1.306359598,Leury Garcia,5913,544725
Miguel Rojas,MIA,132,526,5,52,46,9,0.060836501,0.117870722,0.095238095,0.313539192,0.283643892,0.331428571,0.378881987,0.304999644,0.298950166,90.0084506,-1.390159122,-8.324165675,4.488885462,1.259365159,Miguel Rojas,7802,500743
Eddie Rosario,MIN,137,590,32,91,109,3,0.037288135,0.145762711,0.224199289,0.273333333,0.275800711,0.3,0.5,0.328587995,0.327415624,104.0018518,0.003229747,3.020936193,-11.87483406,1.212102662,Eddie Rosario,12155,592696
Wilson Ramos,NYM,141,524,14,52,73,1,0.083969465,0.131679389,0.128964059,0.310432569,0.287526427,0.351145038,0.416490486,0.326855536,0.314310915,106.3925315,-3.101808606,1.317657696,-5.954616547,1.17529507,Wilson Ramos,1433,467092
Franmil Reyes,- - -,150,548,37,69,81,0,0.085766423,0.284671532,0.263157894,0.279220779,0.248987854,0.310218978,0.512145748,0.338019542,0.359096116,110.7357735,-2.374127819,5.398519531,-12.3119297,1.108097697,Franmil Reyes,14566,614177
Randal Grichuk,TOR,151,628,31,75,80,2,0.055732484,0.25955414,0.225255972,0.266497461,0.232081911,0.280254777,0.457337883,0.306612199,0.304179548,90.32521146,-0.321426121,-8.086848878,-3.310420871,1.098525528,Randal Grichuk,10243,545341
Eloy Jiménez,CHW,122,504,31,69,79,0,0.059523809,0.265873015,0.245726495,0.308196721,0.267094017,0.31547619,0.512820512,0.343294131,0.346775237,114.8243313,-0.634213734,8.915044251,-16.29599428,1.053137416,Eloy Jimenez,17484,650391
